document_id,source_file,source_sha256,pages,raw_characters,characters,repeated_lines_removed,repeated_line_examples,low_text_pages,ocr_required,document_type,product,factory,authority,chunks
GMP法规核心摘要_2010修订版,GMP法规核心摘要_2010修订版.pdf,2e599f526df282da063695de31a7007b97c7ff1ad16d7a97c91747f32534a048,7,3554,3554,0,,,False,法规制度,,,赛题提供法规副本，需与官方现行文本核验,7
产品配方文档_六味地黄胶囊,产品配方文档_六味地黄胶囊.pdf,281a6829ed15ce1df55d9c13f16fd5052e26276a6d30020520967657431eb4e7,3,1400,1346,2,序号 原料名称 处方量 (kg) 药材来源 质量标准,,False,产品配方,六味地黄胶囊,,赛事模拟企业资料,3
产品配方文档_板蓝根颗粒,产品配方文档_板蓝根颗粒.pdf,5f1dd55e4a388b190fc74c601f0589574bccbfa716a2025ea3e79857dd2eec47,2,894,866,2,原料名称单袋含量 投料比例,,False,产品配方,板蓝根颗粒,,赛事模拟企业资料,2
产品配方文档_银黄口服液,产品配方文档_银黄口服液.pdf,834aa8a81c2938dfb9e6ec28b8743ea0e667c237e06a6609415d97fe3b85b5ad,2,967,961,2,,,False,产品配方,银黄口服液,,赛事模拟企业资料,2
生产工艺文档_中药一厂,生产工艺文档_中药一厂.pdf,aa7d48f697f2caa2bedf5b16e84a4d4765d3c92a52a619a7a93360764d7d8e00,5,2825,2578,9,工序 关键参数 收率 / 消耗指标 对成本影响 | 工序 操作定员班产 ( 盒 ) 单盒人工 ( 元 ) | 成品入库 ( 待检验 ),,False,生产工艺,,中药一厂,赛事模拟企业资料,5
药品生产质量管理规范GMP,药品生产质量管理规范GMP.pdf,871f86bfaa610bb0db8b84b0f45606019fe889ec437695baf150cbe696cfa102,93,36423,34014,279,卫生部发布 | 国家市场监督管理总局规章,,False,法规制度,,,赛题提供法规副本，需与官方现行文本核验,93
车间设备清单_中药一厂,车间设备清单_中药一厂.pdf,1e3808fc86fece94d3736690f087c218b8e082e6defe869e68bbdfdcdce7e503,4,2443,2179,59,( 万元 ) | ( 元 ) | 原值 | 年份 | 序号 设备编,,False,设备台账,,中药一厂,赛事模拟企业资料,4
